timestamp,x,y
1659722544.000,1131.253564,-780.755177
1659722545.000,1131.260331,-780.755177
1659722546.000,1131.260331,-780.755177
1659722547.000,1131.267097,-780.744058
1659722548.000,1131.273863,-780.744058
1659722549.000,1131.280629,-780.732938
1659722550.000,1131.280629,-780.732938
1659722551.000,1131.287395,-780.721819
1659722552.000,1131.294162,-780.721819
1659722553.000,1131.294162,-780.710699
1659722554.000,1131.300928,-780.710699
1659722555.000,1131.307694,-780.699580
1659722556.000,1131.307694,-780.699580
1659722557.000,1131.314460,-780.699580
1659722558.000,1131.314460,-780.699580
1659722559.000,1131.321227,-780.688460
1659722560.000,1131.321227,-780.688460
1659722561.000,1131.321227,-780.688460
1659722562.000,1131.321227,-780.688460
1659722563.000,1131.321227,-780.688460
1659722564.000,1131.314460,-780.699580
1659722565.000,1131.314460,-780.699580
1659722566.000,1131.314460,-780.699580
1659722567.000,1131.314460,-780.699580
1659722568.000,1131.314460,-780.699580
1659722569.000,1131.307694,-780.699580
1659722570.000,1131.314460,-780.699580
1659722571.000,1131.314460,-780.688460
1659722572.000,1131.314460,-780.699580
1659722573.000,1131.314460,-780.688460
1659722574.000,1131.321227,-780.688460
1659722575.000,1131.321227,-780.688460
1659722576.000,1131.321227,-780.699580
1659722577.000,1131.327993,-780.710699
1659722578.000,1131.327993,-780.699580
1659722579.000,1131.334759,-780.699580
1659722580.000,1131.334759,-780.699580
1659722581.000,1131.334759,-780.699580
1659722582.000,1131.341525,-780.699580
1659722583.000,1131.348292,-780.688460
1659722584.000,1131.355058,-780.688460
1659722585.000,1131.361824,-780.677341
1659722586.000,1131.368590,-780.677341
1659722587.000,1131.375357,-780.666221
1659722588.000,1131.402421,-780.610624
1659722589.000,1131.409188,-780.599505
1659722590.000,1131.409188,-780.588385
1659722591.000,1131.415954,-780.588385
1659722592.000,1131.415954,-780.588385
1659722593.000,1131.422720,-780.577266
1659722594.000,1131.422720,-780.577266
1659722595.000,1131.422720,-780.588385
1659722596.000,1131.456551,-780.555027
1659722597.000,1131.463318,-780.543907
1659722598.000,1131.463318,-780.543907
1659722599.000,1131.470084,-780.543907
1659722600.000,1131.470084,-780.543907
1659722601.000,1131.470084,-780.543907
1659722602.000,1131.470084,-780.532788
1659722603.000,1131.476850,-780.532788
1659722604.000,1131.483616,-780.532788
1659722605.000,1131.483616,-780.521668
1659722606.000,1131.490383,-780.521668
1659722607.000,1131.497149,-780.510549
1659722608.000,1131.497149,-780.499429
1659722609.000,1131.503915,-780.488310
1659722610.000,1131.510681,-780.488310
1659722611.000,1131.510681,-780.488310
1659722612.000,1131.510681,-780.477190
1659722613.000,1131.510681,-780.488310
1659722614.000,1131.510681,-780.488310
1659722615.000,1131.517447,-780.477190
1659722616.000,1131.517447,-780.477190
1659722617.000,1131.517447,-780.477190
1659722618.000,1131.517447,-780.477190
1659722619.000,1131.517447,-780.477190
1659722620.000,1131.517447,-780.477190
1659722621.000,1131.517447,-780.477190
1659722622.000,1131.497149,-780.499429
1659722623.000,1131.490383,-780.499429
1659722624.000,1131.490383,-780.510549
1659722625.000,1131.490383,-780.510549
1659722626.000,1131.490383,-780.510549
1659722627.000,1131.639240,-780.555027
1659722628.000,1131.679837,-780.566146
1659722629.000,1131.686603,-780.566146
1659722630.000,1131.686603,-780.577266
1659722631.000,1131.693370,-780.577266
1659722632.000,1131.693370,-780.577266
1659722633.000,1131.693370,-780.577266
1659722634.000,1131.693370,-780.577266
1659722635.000,1131.693370,-780.577266
1659722636.000,1131.693370,-780.577266
1659722637.000,1131.693370,-780.577266
1659722638.000,1131.693370,-780.577266
1659722639.000,1131.693370,-780.577266
1659722640.000,1131.693370,-780.577266
1659722641.000,1131.693370,-780.577266
1659722642.000,1136.761279,-788.672256
1659722649.000,1131.693370,-780.577266
1659722650.000,1131.693370,-780.566146
1659722651.000,1131.693370,-780.566146
1659722652.000,1131.693370,-780.566146
1659722653.000,1131.693370,-780.566146
1659722654.000,1131.693370,-780.566146
1659722655.000,1131.693370,-780.566146
1659722656.000,1131.693370,-780.566146
1659722657.000,1131.693370,-780.566146
1659722658.000,1131.693370,-780.566146
1659722659.000,1131.693370,-780.566146
1659722660.000,1131.693370,-780.566146
1659722661.000,1131.693370,-780.566146
1659722662.000,1131.693370,-780.566146
1659722663.000,1131.700136,-780.566146
1659722664.000,1131.700136,-780.566146
1659722665.000,1131.700136,-780.566146
1659722666.000,1131.700136,-780.566146
1659722667.000,1131.700136,-780.566146
1659722668.000,1131.700136,-780.566146
1659722669.000,1131.700136,-780.566146
1659722670.000,1131.700136,-780.566146
1659722671.000,1131.700136,-780.566146
1659722672.000,1131.700136,-780.566146
1659722673.000,1131.700136,-780.566146
1659722674.000,1131.693370,-780.566146
1659722675.000,1131.693370,-780.566146
1659722676.000,1131.693370,-780.555027
1659722677.000,1131.693370,-780.555027
1659722678.000,1131.693370,-780.555027
1659722679.000,1131.700136,-780.555027
1659722680.000,1131.700136,-780.555027
1659722681.000,1131.700136,-780.555027
1659722682.000,1131.700136,-780.555027
1659722683.000,1131.700136,-780.555027
1659722684.000,1131.700136,-780.555027
